id,type,name,source,text,labels
41811383,ENTITY,41811383,ilsi,"['On the last date of hearing, learned Additional Public Prosecutor had prayed for some time to produce viscera report, but today it is stated that viscera was not preserved and, therefore, there is n","['Section 302 in The Indian Penal Code', 'Section 308 in The Indian Penal Code']"
418203,ENTITY,418203,ilsi,"['The facts of the case, briefly stated, are that on the night of the 12th of January, 1957 at about 8-15 P.M/ the present respondent is alleged to have trespassed into the house of one Bhagwanlal con",['Section 354 in The Indian Penal Code']
418222,ENTITY,418222,ilsi,"['The brief facts which are required for the disposal of the above writ petition alone are stated hereunder:', 'K. Ravindrakumar, first respondent herein joined the service on 10.7.1992 as an Appraise",['Section 13 in The Indian Penal Code']
41827513,ENTITY,41827513,ilsi,['These applications under Section 438 of the Code of Criminal Procedure 1973 have been filed for grant of anticipatory bail to the aforesaid applicants who are apprehending their arrests in connectio,['Section 304A in The Indian Penal Code']
41829157,ENTITY,41829157,ilsi,"['DATE :- 06 JULY, 2018JUDGMENT (PER SARANG V. KOTWAL, J.) :-', 'The present Appeal is preferred by the Appellant / originalaccused in Sessions Case No.27 of 2010 on the file of the learned 1 stAd-hoc","['Section 376 in The Indian Penal Code', 'Section 302 in The Indian Penal Code']"
41830743,ENTITY,41830743,ilsi,['pk CRM No. 3609 of 2015 In Re:- An application for anticipatory bail under Section 438 of the Code of Criminal Procedure filed on 17.4.15 in connection with Haldia P.S. Case No. 41/15 dated 2.4.15 u,"['Section 498A in The Indian Penal Code', 'Section 506 in The Indian Penal Code', 'Section 406 in The Indian Penal Code']"
416818,ENTITY,416818,ilsi,"['The prosecution case, in short, is that on 15.3.2009 prosecutrix P.W.2 was sitting in her house.', 'She was a mentally retarded person.', 'At about 10.00 p.m in the night accused came with one Mulli","['Section 376 in The Indian Penal Code', 'Section 450 in The Indian Penal Code', 'Section 354 in The Indian Penal Code']"
416875,ENTITY,416875,ilsi,"['This appeal arises from a judgment and order of 6th Additional District and Sessions Judge convicting and sentencing each of the appellants, namely, Hasrat, Jareef and Manglu to an imprisonment for ",['Section 34 in The Indian Penal Code']
41687937,ENTITY,41687937,ilsi,"['There are two accused in this case.', 'They stood charged as detailed below:-', 'Serial number of chargesCharge(s) framed againstCharge(s) framed under', 'The trial Court, by Judgment dated 20.11.20","['Section 34 in The Indian Penal Code', 'Section 302 in The Indian Penal Code']"
4168837,ENTITY,4168837,ilsi,"['O.P.[MD]No.3447 of 2019 06.03.2019http://www.judis.nic.in', 'However, this Court directs the Deputy Superintendent of Police, Tirunelveli (Rural), to moniter the investigation.', 'The Investigation ",['Section 304 in The Indian Penal Code']
41688554,ENTITY,41688554,ilsi,"['The dramatist personae in this case will be referred to by their respective names.', '2/18http://www.judis.nic.in Crl.R.C.Nos.1070 & 1071 of 2017', 'It appears that, since Illayaraja reneged on his ","['Section 306 in The Indian Penal Code', 'Section 417 in The Indian Penal Code', 'Section 376 in The Indian Penal Code', 'Section 294(b) in The Indian Penal Code', 'Section 323 in The Indian Penal Cod"
41698988,ENTITY,41698988,ilsi,"['Page 2 of 4', '3.The Superintendent, District Jail, Gobichettipalayam.', 'http://www.judis.nic.in Page 3 of 4 Crl.O.P.No.7283 of 2020 R.SUBRAMANIAN, J.', 'Page 3 of 4', 'mkn/kkn Crl.', 'O.P.No.7283 ",['Section 302 in The Indian Penal Code']
