source,target,type,relationship_type,source_type,priority_score
41811383,4168837,SAME_TYPE,ENTITY,synthetic,
41811383,417087,SAME_TYPE,ENTITY,synthetic,
41811383,41711967,SAME_TYPE,ENTITY,synthetic,
41811383,41721803,SAME_TYPE,ENTITY,synthetic,
41811383,41787264,SAME_TYPE,ENTITY,synthetic,
41811383,41791519,SAME_TYPE,ENTITY,synthetic,
41811383,41913794,SAME_TYPE,ENTITY,synthetic,
41811383,41843450,SAME_TYPE,ENTITY,synthetic,
41811383,41954257,SAME_TYPE,ENTITY,synthetic,
41811383,42064801,SAME_TYPE,ENTITY,synthetic,
41811383,42091301,SAME_TYPE,ENTITY,synthetic,
41811383,42106373,SAME_TYPE,ENTITY,synthetic,
41811383,42162738,SAME_TYPE,ENTITY,synthetic,
41811383,42164534,SAME_TYPE,ENTITY,synthetic,
41811383,42187699,SAME_TYPE,ENTITY,synthetic,
41811383,42271,SAME_TYPE,ENTITY,synthetic,
41811383,4238484,SAME_TYPE,ENTITY,synthetic,
41811383,42403762,SAME_TYPE,ENTITY,synthetic,
41811383,42405088,SAME_TYPE,ENTITY,synthetic,
41811383,42253272,SAME_TYPE,ENTITY,synthetic,
41811383,42419933,SAME_TYPE,ENTITY,synthetic,
41811383,42428263,SAME_TYPE,ENTITY,synthetic,
41811383,4249765,SAME_TYPE,ENTITY,synthetic,
41811383,42508934,SAME_TYPE,ENTITY,synthetic,
41811383,42297368,SAME_TYPE,ENTITY,synthetic,
41811383,426549,SAME_TYPE,ENTITY,synthetic,
41811383,42654916,SAME_TYPE,ENTITY,synthetic,
41811383,42662412,SAME_TYPE,ENTITY,synthetic,
41811383,42690068,SAME_TYPE,ENTITY,synthetic,
41811383,42703173,SAME_TYPE,ENTITY,synthetic,
41811383,42629029,SAME_TYPE,ENTITY,synthetic,
41811383,4280465,SAME_TYPE,ENTITY,synthetic,
41811383,428181,SAME_TYPE,ENTITY,synthetic,
41811383,42779199,SAME_TYPE,ENTITY,synthetic,
41811383,42980506,SAME_TYPE,ENTITY,synthetic,
418203,41827513,SAME_TYPE,ENTITY,synthetic,
418203,416818,SAME_TYPE,ENTITY,synthetic,
418203,416875,SAME_TYPE,ENTITY,synthetic,
418203,417087,SAME_TYPE,ENTITY,synthetic,
418203,41720592,SAME_TYPE,ENTITY,synthetic,
418203,41919362,SAME_TYPE,ENTITY,synthetic,
418203,418358,SAME_TYPE,ENTITY,synthetic,
418203,41883603,SAME_TYPE,ENTITY,synthetic,
418203,4196892,SAME_TYPE,ENTITY,synthetic,
418203,420595,SAME_TYPE,ENTITY,synthetic,
418203,420618,SAME_TYPE,ENTITY,synthetic,
418203,42062675,SAME_TYPE,ENTITY,synthetic,
418203,42166088,SAME_TYPE,ENTITY,synthetic,
418203,421717,SAME_TYPE,ENTITY,synthetic,
418203,42205304,SAME_TYPE,ENTITY,synthetic,
418203,42256685,SAME_TYPE,ENTITY,synthetic,
418203,42271,SAME_TYPE,ENTITY,synthetic,
418203,4238484,SAME_TYPE,ENTITY,synthetic,
418203,423940,SAME_TYPE,ENTITY,synthetic,
418203,42284392,SAME_TYPE,ENTITY,synthetic,
418203,42428263,SAME_TYPE,ENTITY,synthetic,
418203,4245955,SAME_TYPE,ENTITY,synthetic,
418203,42508934,SAME_TYPE,ENTITY,synthetic,
418203,42539895,SAME_TYPE,ENTITY,synthetic,
418203,42684039,SAME_TYPE,ENTITY,synthetic,
418203,42691457,SAME_TYPE,ENTITY,synthetic,
418203,42629769,SAME_TYPE,ENTITY,synthetic,
418203,4279567,SAME_TYPE,ENTITY,synthetic,
418203,428041,SAME_TYPE,ENTITY,synthetic,
418203,42783540,SAME_TYPE,ENTITY,synthetic,
418203,43003219,SAME_TYPE,ENTITY,synthetic,
418222,417087,SAME_TYPE,ENTITY,synthetic,
418222,41720592,SAME_TYPE,ENTITY,synthetic,
418222,4191386,SAME_TYPE,ENTITY,synthetic,
418222,4192496,SAME_TYPE,ENTITY,synthetic,
418222,41865645,SAME_TYPE,ENTITY,synthetic,
418222,41895944,SAME_TYPE,ENTITY,synthetic,
418222,41937497,SAME_TYPE,ENTITY,synthetic,
418222,41941887,SAME_TYPE,ENTITY,synthetic,
418222,41966522,SAME_TYPE,ENTITY,synthetic,
418222,4196892,SAME_TYPE,ENTITY,synthetic,
418222,41985844,SAME_TYPE,ENTITY,synthetic,
418222,42005270,SAME_TYPE,ENTITY,synthetic,
418222,42055230,SAME_TYPE,ENTITY,synthetic,
418222,42164534,SAME_TYPE,ENTITY,synthetic,
418222,4218310,SAME_TYPE,ENTITY,synthetic,
418222,421860,SAME_TYPE,ENTITY,synthetic,
418222,42256448,SAME_TYPE,ENTITY,synthetic,
418222,423809,SAME_TYPE,ENTITY,synthetic,
418222,423833,SAME_TYPE,ENTITY,synthetic,
418222,423940,SAME_TYPE,ENTITY,synthetic,
418222,42162273,SAME_TYPE,ENTITY,synthetic,
418222,42253272,SAME_TYPE,ENTITY,synthetic,
418222,42602167,SAME_TYPE,ENTITY,synthetic,
418222,42428263,SAME_TYPE,ENTITY,synthetic,
418222,42455270,SAME_TYPE,ENTITY,synthetic,
418222,42456331,SAME_TYPE,ENTITY,synthetic,
418222,42457863,SAME_TYPE,ENTITY,synthetic,
418222,4249942,SAME_TYPE,ENTITY,synthetic,
418222,42508934,SAME_TYPE,ENTITY,synthetic,
418222,42518724,SAME_TYPE,ENTITY,synthetic,
418222,42292727,SAME_TYPE,ENTITY,synthetic,
418222,42321260,SAME_TYPE,ENTITY,synthetic,
418222,42657825,SAME_TYPE,ENTITY,synthetic,
418222,42697847,SAME_TYPE,ENTITY,synthetic,
418222,42795668,SAME_TYPE,ENTITY,synthetic,
418222,427628,SAME_TYPE,ENTITY,synthetic,
